ClinicID,ClinicName,Date,AppointmentCount,DayOfWeek,DayName,Day,Month,MonthName,Quarter,Year,WeekOfYear,IsWeekend,IsHoliday,HolidayName,SeasonFlag,Lag_1,Lag_7,Lag_14,Lag_28,RollingMean_7,RollingMean_14,RollingMean_28
1,Nexora Care - Riverside,2024-01-01,13,0,Monday,1,1,January,1,2024,1,0,True,New Year's Day,Flu Season,,,,,,,
1,Nexora Care - Riverside,2024-01-02,75,1,Tuesday,2,1,January,1,2024,1,0,False,No Holiday,Flu Season,13.0,,,,,,
1,Nexora Care - Riverside,2024-01-03,66,2,Wednesday,3,1,January,1,2024,1,0,False,No Holiday,Flu Season,75.0,,,,,,
1,Nexora Care - Riverside,2024-01-04,62,3,Thursday,4,1,January,1,2024,1,0,False,No Holiday,Flu Season,66.0,,,,,,
1,Nexora Care - Riverside,2024-01-05,36,4,Friday,5,1,January,1,2024,1,0,False,No Holiday,Flu Season,62.0,,,,,,
1,Nexora Care - Riverside,2024-01-06,17,5,Saturday,6,1,January,1,2024,1,1,False,No Holiday,Flu Season,36.0,,,,,,
1,Nexora Care - Riverside,2024-01-08,55,0,Monday,8,1,January,1,2024,2,0,False,No Holiday,Flu Season,17.0,,,,,,
1,Nexora Care - Riverside,2024-01-09,52,1,Tuesday,9,1,January,1,2024,2,0,False,No Holiday,Flu Season,55.0,13.0,,,46.285714285714285,,
1,Nexora Care - Riverside,2024-01-10,72,2,Wednesday,10,1,January,1,2024,2,0,False,No Holiday,Flu Season,52.0,75.0,,,51.857142857142854,,
1,Nexora Care - Riverside,2024-01-11,71,3,Thursday,11,1,January,1,2024,2,0,False,No Holiday,Flu Season,72.0,66.0,,,51.42857142857143,,
1,Nexora Care - Riverside,2024-01-12,51,4,Friday,12,1,January,1,2024,2,0,False,No Holiday,Flu Season,71.0,62.0,,,52.142857142857146,,
1,Nexora Care - Riverside,2024-01-13,15,5,Saturday,13,1,January,1,2024,2,1,False,No Holiday,Flu Season,51.0,36.0,,,50.57142857142857,,
1,Nexora Care - Riverside,2024-01-15,12,0,Monday,15,1,January,1,2024,3,0,True,MLK Day,Flu Season,15.0,17.0,,,47.57142857142857,,
1,Nexora Care - Riverside,2024-01-16,81,1,Tuesday,16,1,January,1,2024,3,0,False,No Holiday,Flu Season,12.0,55.0,,,46.857142857142854,,
1,Nexora Care - Riverside,2024-01-17,54,2,Wednesday,17,1,January,1,2024,3,0,False,No Holiday,Flu Season,81.0,52.0,13.0,,50.57142857142857,48.42857142857143,
1,Nexora Care - Riverside,2024-01-18,46,3,Thursday,18,1,January,1,2024,3,0,False,No Holiday,Flu Season,54.0,72.0,75.0,,50.857142857142854,51.357142857142854,
1,Nexora Care - Riverside,2024-01-19,47,4,Friday,19,1,January,1,2024,3,0,False,No Holiday,Flu Season,46.0,71.0,66.0,,47.142857142857146,49.285714285714285,
1,Nexora Care - Riverside,2024-01-20,21,5,Saturday,20,1,January,1,2024,3,1,False,No Holiday,Flu Season,47.0,51.0,62.0,,43.714285714285715,47.92857142857143,
1,Nexora Care - Riverside,2024-01-22,63,0,Monday,22,1,January,1,2024,4,0,False,No Holiday,Flu Season,21.0,15.0,36.0,,39.42857142857143,45.0,
